'2020-09-17', '1.1.3', 'Bike 24:00 @ 5, 10, 15, 20 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '12.1km', '0:24:00', '0:00:00', '336'
'2020-09-19', '1.1.1', '6 x (1:00 Erg; 3:00 AMRAP 6 snatch @ 40, 6 BFB)', 'Cyborg', 'Cyborg', 'Rower', '', '0:06:00', '0:00:00', '0'
'2020-09-20', '1.1.5', 'Row 30:00', 'Cyborg', 'Endurance', 'Rower', '7.2km', '0:30:00', '0:00:00', '460'
'2020-09-22', '1.1.2', '18x0:45/0:45r', 'Cyborg', 'Intervals', 'Rower', '4.0km', '0:13:30', '0:13:30', '313'
'2020-09-23', '1.2.1', '??x0:30/0:30r - 105m+5m', 'Cyborg', 'Ascending', 'Rower', '2.1km', '0:07:17', '7:30:00', '164'
'2020-09-24', '1.1.4', '6 x (1:30 Erg; 1:30 AMRAP 5 thrusters @ 35, 20 DU)', 'Cyborg', 'Cyborg', 'Rower', '2.2km', '0:09:00', '0:00:00', '0'
'2020-09-25', '1.2.3', 'Bike 30:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '15.2km', '0:30:00', '0:00:00', '422'
'2020-09-29', '1.2.4', '10x1:30/1:00r', 'Cyborg', 'Intervals', 'Rower', '4.3km', '0:15:00', '0:10:00', '326'
'2020-09-30', '1.2.2', '8 x (2:00 Erg; 2:00 AMRAP 2 DL @ 85, 8 TTB)', 'Cyborg', 'Cyborg', 'Rower', '3.9km', '0:16:00', '0:00:00', '0'
'2020-10-01', '1.3.3', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '18.1km', '0:36:00', '0:00:00', '497'
'2020-10-03', '1.2.5', '6 x (2:30 Erg; 1:30 AMRAP 6 S2O @ 35, 2 BMU)', 'Cyborg', 'Cyborg', 'Rower', '3.7km', '0:15:00', '0:00:00', '0'
'2020-10-04', '1.3.2', 'Bike 45:00', 'Cyborg', 'Endurance', 'AirDyne', '22.4km', '0:45:00', '0:00:00', '608'
'2020-10-06', '1.3.5', '10x1:30/1:30r', 'Cyborg', 'Intervals', 'SkiErg', '4km', '0:15:00', '0:15:00', '272'
'2020-10-07', '1.4.3', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '21km', '0:42:00', '0:00:00', '576'
'2020-10-09', '1.4.1', '8x1:00/2:00r', 'Cyborg', 'Intervals', 'Rower', '2.5k', '0:08:00', '0:16:00', '210'
'2020-10-10', '1.3.1', '4 x (3:00 Erg; 2:30 AMRAP 8 OHS @ 35, 8 CTB)', 'Cyborg', 'Cyborg', 'BikeErg', '5.8km', '0:12:00', '0:00:00', '0'
'2020-10-11', '1.3.4', '8 x (1:30 Erg; 2:00 AMRAP 3 CJ @ 62.5, 12 WB)', 'Cyborg', 'Cyborg', 'BikeErg', '5.5km', '0:12:00', '0:00:00', '0'
'2020-10-13', '1.4.4', '??x1:00/1:00r - 16cal+1cal', 'Cyborg', 'Ascending', 'BikeErg', '6.2km', '0:11:00', '0:11:00', '237'
'2020-10-17', '1.4.2', '8 x (2:00 Erg; 1:30 AMRAP 5 Thrusters @ 42.5, 5 burpees)', 'Cyborg', 'Cyborg', 'BikeErg', '7.3km', '0:16:00', '0:00:00', '219'
'2020-10-18', '1.4.5', '4 x (2:30 Erg; 3:00 AMRAP 8 OHS @ 35, 6 HSPU)', 'Cyborg', 'Cyborg', 'BikeErg', '4.9km', '0:10:00', '0:00:00', '154'
'2020-10-20', '2.1.2', '6x3:00/1:00r', 'Cyborg', 'Intervals', 'Rower', '4.8km', '0:18:00', '0:06:00', '343'
'2020-10-21', '2.1.3', '24:00 @ 5, 10, 15, 20 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '11.9km', '0:24:00', '0:00:00', '388'
'2020-10-23', '2.1.5', 'Bike 35:00', 'Cyborg', 'Endurance', 'BikeErg', '17km', '0:35:00', '0:00:00', '542'
'2020-10-24', '2.1.1', '5 x (3:00 Erg; 2:00 AMRAP 6 DL @ 95, 9 WB @ 9)', 'Cyborg', 'Cyborg', 'Rower', '3.6km', '0:15:00', '0:00:00', '0'
'2020-10-25', '2.1.4', '10 x (1:00 Erg; 1:30 AMRAP 6 S2O @ 35, 2 RMU)', 'Cyborg', 'Cyborg', 'AirDyne', '4.6km', '0:10:00', '0:00:00', '0'
'2020-10-27', '2.2.3', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '14.9km', '0:30:00', '0:00:00', '489'
'2020-10-28', '2.2.1', '??x1:30/2:00r - row 350m+25m', 'Cyborg', 'Ascending', 'Rower', '3.0km', '0:09:00', '0:10:00', '0'
'2020-10-30', '2.2.4', '6x2:00/2:00r', 'Cyborg', 'Intervals', 'BikeErg', '6.8km', '0:12:00', '0:12:00', '263'
'2020-10-31', '2.2.5', '4 x (2:30 Erg; 2:30 AMRAP 6 snatches @ 45, 3 BMU)', 'Cyborg', 'Cyborg', 'BikeErg', '4.8km', '0:10:00', '0:00:00', '150'
'2020-11-01', '2.2.2', '12x1:45/0:15(R1-5+40%; R6-10+20%)', 'Cyborg', 'Flux Stages', 'BikeErg', '11.9km', '0:20:00', '0:04:00', '385'
'2020-11-03', '2.3.2', 'Bike 40:00', 'Cyborg', 'Endurance', 'BikeErg', '19.3km', '0:40:00', '0:00:00', '612'
'2020-11-04', '2.3.3', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '17.6km', '0:36:00', '0:00:00', '568'
'2020-11-06', '2.3.5', '8x0:45/1:30r', 'Cyborg', 'Intervals', 'Rower', '1.9km', '0:06:00', '0:12:00', '171'
'2020-11-07', '2.3.1', '6 x (3:00 Erg; 1:30 AMRAP 1 DL @ 115, 2 BMU)', 'Cyborg', 'Cyborg', 'BikeErg', '8.7km', '0:18:00', '0:00:00', '278'
'2020-11-08', '2.3.4', '8x2:30/1:30(R1,3,5,7+20%; R2,4,6,8+15%)', 'Cyborg', 'Flux Stages', 'BikeErg', '16.0km', '0:32:00', '0:00:00', '529'
'2020-11-10', '2.4.1', '15x1:00/1:00r', 'Cyborg', 'Intervals', 'Rower', '4.5km', '0:15:00', '0:15:00', '376'
'2020-11-11', '2.4.3', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '20.4km', '0:42:00', '0:00:00', '653'
'2020-11-13', '2.4.4', '??x0:45/1:00r - row 150m+10m / bike 12cals+1cal', 'Cyborg', 'Ascending', 'BikeErg', '4.8km', '0:08:15', '0:11:00', '188'
'2020-11-14', '2.4.5', '5 x (2:30 Erg; 2:00 AMRAP 3 S2O @ 42.5, 6 TTB)', 'Cyborg', 'Cyborg', 'BikeErg', '6.0km', '0:12:30', '0:00:00', '191'
'2020-11-15', '2.4.2', '8x1:30/1:30+15%', 'Cyborg', 'Flux Stages', 'AirDyne', '13.4km', '0:24:00', '0:00:00', '367'
'2020-11-17', '3.1.5', 'Bike 45:00', 'Cyborg', 'Endurance', 'BikeErg', '21.8km', '0:45:00', '0:00:00', '697'
'2020-11-18', '3.1.2', '8x1:30/1:30r', 'Cyborg', 'Intervals', 'Rower', '3.5km', '0:12:00', '0:12:00', '277'
'2020-11-20', '3.1.3', 'Bike 24:00 @ 5, 10, 15, 20 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '11.8km', '0:24:00', '0:00:00', '381'
'2020-11-21', '3.1.1', '4 x (3:00 Erg; 3:00 AMRAP 6 OHS @ 35, 9 CTB)', 'Cyborg', 'Cyborg', 'Rower', '3.0km', '0:12:00', '0:00:00', '0'
'2020-11-22', '3.1.4', '6 x (1:00 Erg; 2:30 AMRAP 6 thrusters @ 42.5, 30 DU)', 'Cyborg', 'Cyborg', 'AirDyne', '', '0:06:00', '0:00:00', '0'
'2020-11-24', '3.2.3', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '15.1km', '0:30:00', '0:00:00', '417'
'2020-11-25', '3.2.1', '??x1:30/1:30r - row 350m+25m / bike 25cals+1cal', 'Cyborg', 'Ascending', 'Rower', '2.48km', '0:09:00', '0:09:00', '0'
'2020-11-27', '3.2.4', '10x1:45/1:00r', 'Cyborg', 'Intervals', 'Rower', '4.8km', '0:17:30', '0:10:00', '347'
'2020-11-28', '3.2.5', '6 x (2:00 Erg; 1:30 AMRAP 1 CJ @ 62.5, 2 BMU)', 'Cyborg', 'Cyborg', 'BikeErg', '5.7km', '0:12:00', '0:00:00', '178'
'2020-11-29', '3.2.2', '8x1:45/1:15(R1,2,3: +25%; R4,5,6: +15%; R7,8: +5%)', 'Cyborg', 'Flux Stages', 'AirDyne', '13.0km', '0:24:00', '0:00:00', '355'
'2020-11-30', '3.3.2', 'Bike 45:00', 'Cyborg', 'Endurance', 'BikeErg', '22km', '0:45:00', '0:00:00', '707'
'2020-12-02', '3.3.3', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Cyborg', 'Polarisation', 'AirDyne', '18.2km', '0:36:00', '0:00:00', '509'
'2020-12-05', '3.3.4', '8 x (1:00 Erg; 2:00 AMRAP 3 S2O @ 42.5, 9 Burpees)', 'Cyborg', 'Cyborg', 'AirDyne', '4.0km', '0:08:00', '0:00:00', '91'
'2020-12-06', '3.3.5', '18x0:30/0:30r', 'Cyborg', 'Intervals', 'Rower', '2.7km', '0:09:00', '0:09:00', '218'
'2020-12-08', '3.4.3', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Cyborg', 'Polarisation', 'BikeErg', '20.3km', '0:42:00', '0:00:00', '648'
'2020-12-09', '3.4.1', '8x1:00/2:00r', 'Cyborg', 'Intervals', 'Rower', '2.6km', '0:08:00', '0:16:00', '229'
'2020-12-16', '3.4.4', '??x1:00/1:00r - 16cal+1cal', 'Cyborg', 'Ascending', 'BikeErg', '6.7km', '0:12:00', '0:12:00', '250'
'2020-12-17', '3.3.1', '8x3:00/1:00(R1,2,3: +30%; R4,5,6: +20%; R7,8: +10%)', 'Cyborg', 'Flux Stages', 'AirDyne', '', '0:24:00', '0:00:00', '459'
'2020-12-19', '3.3.1', '4 x (3:00 Erg; 2:30 AMRAP 4 DL @ 100, 12 WB)', 'Cyborg', 'Cyborg', 'BikeErg', '5.8km', '0:12:00', '0:00:00', '0'
'2020-12-20', '4.1.5', 'Bike 35:00', 'Hybrid', 'Endurance', 'BikeErg', '17.0km', '0:35:00', '0:00:00', '545'
'2020-12-22', '4.1.1', '6x0:30/0:30r-2:00r-6x500m/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.9km', '0:14:04', '0:08:00', '217'
'2020-12-23', '4.1.3', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '14.8km', '0:30:00', '0:00:00', '411'
'2020-12-26', '4.1.2', '8x1:30/1:30r', 'Hybrid', 'Intervals', 'Rower', '3.5km', '0:12:00', '0:12:00', '279'
'2020-12-27', '4.1.4', '4x0:20/0:40r-2:00r-10:00', 'Hybrid', 'Hybrid', 'BikeErg', '6.3km', '0:11:20', '0:04:40', '240'
'2020-12-28', '4.2.2', '2:00 max effort-2:00r-2x100cal/2:00r', 'Hybrid', 'Hybrid', 'AirDyne', '11.0km', '0:13:00', '0:06:00', '248'
'2020-12-30', '4.2.3', '??x0:30/1:00r - row 120m+5m', 'Hybrid', 'Ascending', 'Rower', '2.0km', '0:06:25', '0:11:00', '166'
'2021-01-01', '4.2.4', '10x2:00/0:30r', 'Hybrid', 'Intervals', 'Rower', '10.6km', '0:20:00', '0:05:00', '374'
'2021-01-01', '4.3.3', 'Bike 45:00', 'Hybrid', 'Endurance', 'AirDyne', '20.3km', '0:45:00', '0:00:00', '567'
'2021-01-02', '4.2.5', '4x1:00/0:30r-2:00r-4x2:00/2:00r', 'Hybrid', 'Hybrid', 'Rower', '3.4km', '0:12:00', '0:11:30', '255'
'2021-01-03', '4.3.2', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.1km', '0:36:00', '0:00:00', '500'
'2021-01-05', '4.3.1', '4x0:30/1:00r-2:00r-3x1k/2:00r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:51', '0:11:00', '279'
'2021-01-08', '4.3.4', '5x0:15/0:45r-2:00-8x500m/0:45r', 'Hybrid', 'Hybrid', 'Rower', '4.6km', '0:16:21', '0:11:45', '344'
'2021-01-09', '4.4.4', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.1km', '0:42:00', '0:00:00', '581'
'2021-01-10', '4.4.3', '6x4:00/1:00r', 'Hybrid', 'Intervals', 'BikeErg', '12.7km', '0:24:00', '0:06:00', '450'
'2021-01-11', '4.4.1', '??x1:00/0:30r - row 15cals+1cal', 'Hybrid', 'Ascending', 'BikeErg', '6.2km', '0:12:00', '0:06:00', '232'
'2021-01-12', '4.4.2', '3x1:00/2:00r-2:00r-14:00 max cals', 'Hybrid', 'Hybrid', 'BikeErg', '9.0km', '0:17:00', '0:08:00', '317'
'2021-01-14', '4.4.5', '3:00 max effort-2:00r-12x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.8km', '0:15:00', '0:08:00', '285'
'2021-01-16', '4.2.1', '4 x (1:00 Erg; 2:00 AMRAP 4 thrusters (35), 4 burpees)', 'Hybrid', 'Cyborg', 'BikeErg', '1.9km', '0:45:00', '0:00:00', '60'
'2021-01-17', '5.1.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.7km', '0:45:00', '0:00:00', '693'
'2021-01-19', '5.1.3', 'Bike 33:00 @ 6,12,18, 24 Max 0:07', 'Hybrid', 'Polarisation', 'BikeErg', '16.1km', '0:33:00', '0:00:00', '521'
'2021-01-20', '5.1.1', '6x0:45/0:45r-1:00r-10x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.9km', '0:13:45', '0:08:45', '308'
'2021-01-23', '5.1.2', '8x3:00/1:00r', 'Hybrid', 'Intervals', 'Rower', '6.5km', '0:24:00', '0:08:00', '465'
'2021-01-24', '5.1.4', '8x0:15/0:30r-2:00r-8x0:30/0:15r', 'Hybrid', 'Hybrid', 'BikeErg', '4.0km', '0:06:40', '0:07:30', '166'
'2021-01-25', '5.2.1', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.2km', '0:36:00', '0:00:00', '508'
'2021-01-26', '5.2.3', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '705'
'2021-01-27', '5.2.2', '6x0:30/1:00r-1:00r-10x0:45/15r', 'Hybrid', 'Hybrid', 'Rower', '3.0km', '0:10:30', '0:08:30', '233'
'2021-01-28', '5.2.4', '??x0:45/0:45r - row/bike 13+1', 'Hybrid', 'Ascending', 'Rower', '2.5km', '0:08:15', '0:08:15', '206'
'2021-01-29', '5.3.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.8km', '0:45:04', '0:00:00', '700'
'2021-02-01', '5.2.5', '8x0:15/0:15r-2:00r-8x1:15/0:45r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:40', '0:09:45', '270'
'2021-02-02', '5.3.3', 'Bike 39:00 @ 7,14,21,28,35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '19.9km', '0:39:00', '0:00:00', '563'
'2021-02-03', '5.3.1', '6x0:30/0:45r-1:00r-10x0:30/0:15r', 'Hybrid', 'Hybrid', 'Rower', '2.3km', '0:08:00', '0:07:15', '173'
'2021-02-05', '5.3.2', '10x2:00/0:30r', 'Hybrid', 'Intervals', 'Rower', '5.3km', '0:20:00', '0:05:00', '374'
'2021-02-06', '5.4.3', 'Erg 30:00', 'Hybrid', 'Endurance', 'AirDyne', '25.3km', '0:30:00', '0:00:00', '420'
'2021-02-08', '5.3.4', '8x0:30/0:30r-2:00r-8x1:00/0:15r', 'Hybrid', 'Hybrid', 'AirDyne', '15.7km', '0:12:00', '0:08:00', '260'
'2021-02-09', '5.4.1', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.3km', '0:42:00', '0:00:00', '596'
'2021-02-10', '5.4.2', '6x0:30/1:00r-1:00r-10x0:45/0:45r', 'Hybrid', 'Hybrid', 'Rower', '3.1km', '0:10:30', '0:13:30', '249'
'2021-02-13', '5.4.4', '??x0:30/0:30r - 100+5m', 'Hybrid', 'Ascending', 'Rower', '2.3km', '0:08:00', '0:08:00', '174'
'2021-02-15', '5.4.5', '8x0:20/0:30r-2:00r-8x0:45/0:30r', 'Hybrid', 'Hybrid', 'Rower', '2.5km', '0:08:40', '0:09:30', '201'
'2021-02-17', '6.1.5', 'Erg 45:00', 'Hybrid', 'Endurance', 'AirDyne', '22.6km', '0:45:00', '0:00:00', '624'
'2021-02-19', '6.1.1', '10x0:30/1:00r-3:00r-6x1:30/0:30r', 'Hybrid', 'Hybrid', 'Rower', '4.0km', '0:14:00', '0:15:00', '317'
'2021-02-20', '6.1.2', '3x7:00/1:00r', 'Hybrid', 'Intervals', 'BikeErg', '11.0km', '0:21:00', '0:03:00', '385'
'2021-02-21', '6.1.3', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.2km', '0:36:00', '0:00:00', '510'
'2021-02-23', '6.1.4', '8x0:20/0:30r-2:00-10x1:00/0:15r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:40', '0:08:00', '272'
'2021-02-25', '6.2.3', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '708'
'2021-02-26', '6.2.1', 'Bike 39:00 @ 7,14,21,28,35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '19.7km', '0:39:00', '0:00:00', '546'
'2021-02-27', '6.2.2', '10x0:45/0:15-3:00r-6x2:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '5.4km', '0:19:30', '0:11:45', '405'
'2021-02-28', '6.2.4', '??x1km/0:30r-2:00-0:03', 'Hybrid', 'Ascending', 'BikeErg', '7.8km', '0:14:36', '0:15:00', '281'
'2021-03-03', '6.2.5', '8x0:30/1:30r-2:00r-2x4:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.4km', '0:12:00', '0:13:30', '263'
'2021-03-05', '6.3.1', '10x0:20/0:45r-3:00r-6x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '2.8km', '0:09:20', '0:12:45', '227'
'2021-03-06', '6.3.5', 'Bike 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.8km', '0:45:00', '0:00:00', '698'
'2021-03-07', '6.3.2', '12x2:00/1:00r', 'Hybrid', 'Intervals', 'Rower', '6.5km', '0:24:00', '0:12:00', '467'
'2021-03-08', '6.3.3', 'Bike 36:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.1km', '0:36:00', '0:00:00', '500'
'2021-03-10', '6.3.4', '8x0:30/0:30r-2:00r-10x0:45/0:15r', 'Hybrid', 'Hybrid', 'Rower', '3.3km', '0:11:30', '0:08:00', '248'
'2021-03-12', '6.4.1', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.2km', '0:42:00', '0:00:00', '587'
'2021-03-14', '6.4.2', '10x0:20/0:15r-3:00r-6x1:30/1:00r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:20', '0:11:15', '277'
'2021-03-15', '6.4.3', 'Bike 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '701'
'2021-03-17', '6.4.4', '??x1:00/0:30r - row 14cals+1cal', 'Hybrid', 'Ascending', 'Rower', '3.2km', '0:12:00', '0:06:00', '239'
'2021-03-21', '6.4.5', '8x0:30/1:00r-2:00r-10x1:30/0:15r', 'Hybrid', 'Hybrid', 'Rower', '5.2km', '0:19:00', '0:11:30', '386'
'2021-03-23', '7.1.1', 'Erg 10:00 TT', 'Devour', 'Time Trial', 'Rower', '2.8km', '0:10:00', '0:00:00', '203'
'2021-03-24', '7.1.2', '8x0:30+0:30/0:30r TT-1', 'Devour', 'Devour', 'Rower', '4.5km', '0:18:00', '0:04:00', '336'
